ID,Questão1,Questão2,Questão3,Questão4,Questão5,Questão6,Questão7,Questão8,Questão9,Questão10,Questão11,Questão12,Questão13,Questão14
16,Médico Especialista,Mais de 15 anos,5,1,1,1,1,Não tenho certeza,Não,Não,10,A performance/acurácia geral do sistema,5,Responsabilidade e responsabilização;Auditorias de proteção de dados
17,Médico Residente,1-3 anos,2,4,4,4,4,Sim,Sim,Sim,5,Uma indicação da confiança do sistema em seus diagnósticos,2,Maior transparência do modelo
18,Médico Especialista,8-15 anos,3,2,1,2,2,Sim,Sim,Sim,7,A performance/acurácia geral do sistema;Uma explicação visual,4,Maior transparência do modelo
19,Médico Especialista,4-7 anos,4,4,2,3,3,Sim,Não tenho certeza,Sim,8,Geração automática de códigos clínicos,4,Responsabilidade e responsabilização
20,Técnico em Radiologia,1-3 anos,5,3,1,2,1,Sim,Sim,Sim,9,Uma indicação da confiança do sistema em seus diagnósticos;Uma explicação visual,5,Maior transparência do modelo
21,Médico Especialista,Mais de 15 anos,4,2,1,1,1,Não tenho certeza,Não,Não tenho certeza,8,A performance/acurácia geral do sistema,4,Responsabilidade e responsabilização
22,Médico Residente,1-3 anos,3,5,2,3,3,Sim,Sim,Sim,7,Uma explicação textual;Uma indicação da confiança do sistema em seus diagnósticos,4,Maior transparência do modelo
23,Médico Especialista,8-15 anos,4,3,2,2,2,Sim,Não tenho certeza,Sim,7,A performance/acurácia geral do sistema,4,Auditorias de proteção de dados
24,Médico Especialista,4-7 anos,5,1,1,1,1,Sim,Sim,Sim,9,Uma explicação visual;A performance/acurácia geral do sistema,5,Maior transparência do modelo
25,Médico Residente,Menos de 1 ano,2,5,4,5,5,Não tenho certeza,Sim,Sim,4,Uma explicação visual,2,Maior transparência do modelo;Responsabilidade e responsabilização
26,Médico Especialista,Mais de 15 anos,3,2,1,2,1,Não tenho certeza,Não tenho certeza,Não tenho certeza,6,A performance/acurácia geral do sistema,3,Auditorias de proteção de dados
27,Médico Especialista,8-15 anos,4,3,1,2,2,Sim,Sim,Sim,8,Uma indicação da confiança do sistema em seus diagnósticos,4,Maior transparência do modelo
28,Médico Residente,1-3 anos,3,4,2,4,3,Sim,Sim,Sim,7,Uma explicação textual;A performance/acurácia geral do sistema,4,Responsabilidade e responsabilização
29,Médico Especialista,4-7 anos,5,2,1,1,1,Sim,Sim,Sim,9,Uma explicação visual;Uma indicação da confiança do sistema em seus diagnósticos,5,Maior transparência do modelo
30,Médico Especialista,Mais de 15 anos,2,1,1,1,1,Não,Não,Não,5,A performance/acurácia geral do sistema,3,Responsabilidade e responsabilização
31,Médico Residente,Menos de 1 ano,4,5,3,4,4,Sim,Sim,Sim,8,Uma recomendação para mais imagens/modalidades,4,Maior transparência do modelo;Auditorias de proteção de dados
32,Médico Especialista,8-15 anos,3,3,2,2,2,Sim,Não tenho certeza,Sim,7,A performance/acurácia geral do sistema;Uma indicação da confiança do sistema em seus diagnósticos,4,Maior transparência do modelo
33,Médico Especialista,4-7 anos,4,4,2,3,3,Sim,Sim,Sim,8,Uma explicação visual;Geração automática de códigos clínicos,4,Responsabilidade e responsabilização
34,Médico Especialista,Mais de 15 anos,5,1,1,1,1,Não tenho certeza,Não tenho certeza,Não tenho certeza,10,A performance/acurácia geral do sistema,5,Maior transparência do modelo;Auditorias de proteção de dados
35,Médico Residente,1-3 anos,2,5,4,5,5,Sim,Sim,Sim,5,Uma indicação da confiança do sistema em seus diagnósticos,2,Responsabilidade e responsabilização
36,Médico Especialista,8-15 anos,4,2,1,2,2,Sim,Não tenho certeza,Sim,8,A performance/acurácia geral do sistema,4,Maior transparência do modelo
37,Médico Especialista,4-7 anos,3,3,2,3,2,Sim,Sim,Sim,7,Uma explicação visual;Uma explicação textual,4,Auditorias de proteção de dados
38,Médico Residente,1-3 anos,4,4,1,3,3,Sim,Sim,Sim,8,Uma indicação da confiança do sistema em seus diagnósticos,4,Maior transparência do modelo
39,Médico Especialista,Mais de 15 anos,3,2,1,1,1,Não tenho certeza,Não,Não tenho certeza,6,A performance/acurácia geral do sistema,3,Responsabilidade e responsabilização
40,Médico Especialista,8-15 anos,5,1,1,2,2,Sim,Sim,Sim,9,Uma indicação da confiança do sistema em seus diagnósticos;Uma recomendação para mais imagens/modalidades,5,Maior transparência do modelo
41,Médico Residente,Menos de 1 ano,2,5,4,4,4,Sim,Sim,Sim,4,Uma explicação visual,3,Responsabilidade e responsabilização;Auditorias de proteção de dados
42,Médico Especialista,4-7 anos,4,3,2,2,1,Sim,Não tenho certeza,Sim,8,A performance/acurácia geral do sistema;Geração automática de códigos clínicos,4,Maior transparência do modelo
43,Médico Especialista,Mais de 15 anos,5,2,1,1,1,Sim,Sim,Sim,9,Uma indicação da confiança do sistema em seus diagnósticos,5,Responsabilidade e responsabilização
44,Médico Residente,1-3 anos,3,4,2,3,3,Sim,Sim,Sim,7,A performance/acurácia geral do sistema;Uma explicação visual,4,Maior transparência do modelo
45,Médico Especialista,8-15 anos,4,2,1,2,2,Sim,Não tenho certeza,Sim,8,Uma recomendação para mais imagens/modalidades,4,Auditorias de proteção de dados
46,Médico Especialista,4-7 anos,3,3,2,3,3,Sim,Sim,Sim,7,Uma explicação visual;A performance/acurácia geral do sistema,4,Maior transparência do modelo
47,Médico Especialista,Mais de 15 anos,2,1,1,1,1,Não,Não,Não,5,A performance/acurácia geral do sistema,3,Responsabilidade e responsabilização
48,Médico Residente,Menos de 1 ano,4,5,3,5,4,Sim,Sim,Sim,8,Uma indicação da confiança do sistema em seus diagnósticos;Uma explicação textual,4,Maior transparência do modelo;Auditorias de proteção de dados
49,Médico Especialista,8-15 anos,5,2,1,2,1,Sim,Não tenho certeza,Sim,9,A performance/acurácia geral do sistema,5,Maior transparência do modelo
50,Médico Residente,1-3 anos,3,4,2,4,3,Sim,Sim,Sim,7,Uma explicação visual;Geração automática de códigos clínicos,4,Responsabilidade e responsabilização
